Index,Dataset,BREN,CONT,Rod Count,Area Ratio,GRA6,STA6
IMG_6370,0,0.0006749815615675,0.4875075035074679,23,0.213789519371345,0.213789519371345,0.00020791983873439098
IMG_6401,0,0.0005788586513897,0.540161845985237,8,0.2240040204678362,0.2240040204678362,0.000153593584032818
IMG_6395,0,0.0005840420939698,0.5517030120583468,37,0.3792003609283625,0.3792003609283625,0.000142223010239266
IMG_6398,0,0.0004986947578195,0.5483072949748593,17,0.2201853374756335,0.2201853374756335,0.000132746890150571
IMG_6369,0,0.0005360597036006,0.4464707186709524,10,0.4301009685672514,0.4301009685672514,0.000179656449478739
IMG_6415,0,0.0008730665405541,0.4573042182256582,21,0.278510294834308,0.278510294834308,0.000272911678690186
IMG_6414,0,0.0003811083964847,0.5050109089433159,21,0.4000595836379142,0.4000595836379142,0.000104069508067678
IMG_6377,0,0.0005883876214212,0.449532141121515,9,0.1352841739766082,0.1352841739766082,0.000150334986612907
IMG_6408,0,0.0004626019457255,0.5028740790971552,78,0.3612667329130117,0.3612667329130117,0.000121680447671407
IMG_6368,0,0.0007398858185098,0.4515963026087835,5,0.0923777678788986,0.0923777678788986,0.000133313949119084
IMG_6425,0,0.0006369245316778,0.5382387224451406,3,0.6259735166910332,0.6259735166910332,0.000196064350183146
IMG_6367,0,0.0007832274402807,0.4498899952747914,6,0.083168954830653,0.083168954830653,0.000231409467387274
IMG_6366,0,0.0011600194034673,0.4293101134689315,6,0.0412157917580409,0.0412157917580409,0.000320751004420667
IMG_6413,0,0.0005653930990523,0.4240747359696361,34,0.1801591244822124,0.1801591244822124,0.000111398952171365
IMG_6422,0,0.0007010907999799,0.503621048607763,28,0.1714716206749512,0.1714716206749512,0.000180667000449476
IMG_6412,0,0.0008967450296062,0.4109835241076303,7,0.1366257576449805,0.1366257576449805,0.000171992765745112
IMG_6385,0,0.0004882554323621,0.4014534677142032,20,0.3327473006518031,0.3327473006518031,0.000125880032486309
IMG_6409,0,0.0005293244708234,0.4739053329385141,2,0.0097363090886939,0.0097363090886939,0.000117611906870831
IMG_6400,0,0.0007980952511396,0.441335476140795,7,0.4773114834612573,0.4773114834612573,0.000233042319313851
IMG_6424,0,0.0005833332346296,0.5122005130942637,3,0.3799965544286062,0.3799965544286062,0.000147050839578835
IMG_6376,0,0.0006294611425524,0.5175791915433439,12,0.2381598935489766,0.2381598935489766,0.00020574715069643902
IMG_6419,0,0.0005290029179712,0.469627916400235,15,0.2229233293737816,0.2229233293737816,0.000169001059365817
IMG_6416,0,0.0005473812641874,0.5022121588682406,24,0.3108092904788012,0.3108092904788012,0.00015596576681858602
IMG_6404,0,0.0007780705246797,0.4763111027991086,11,0.2758763363486842,0.2758763363486842,0.000200911232701931
IMG_6417,0,0.0003655553595189,0.5030655806945067,10,0.4431482623659844,0.4431482623659844,0.000110448883596633
IMG_6423,0,0.000518169526142,0.5290633232232614,3,0.6018152069627193,0.6018152069627193,0.000155317438623371
IMG_6421,0,0.0005259442580005,0.4603802046210319,6,0.5958561769005848,0.5958561769005848,0.000177133379947017
IMG_6388,0,0.0004821666984111,0.4753651344438452,6,0.4829117743360136,0.4829117743360136,0.000152969661343246
IMG_6364,0,0.0008217929507973,0.3813220539751727,20,0.2309362816764132,0.2309362816764132,0.000194648529664053
IMG_6374,0,0.0008417462942902,0.4748208604515233,16,0.4074253967166179,0.4074253967166179,0.000271734109192178
IMG_6380,0,0.001056386587494,0.4282452072276904,40,0.0872693751522904,0.0872693751522904,0.00026645185320966504
IMG_6375,0,0.0007556696302348,0.4972257430506479,5,0.5404322574013158,0.5404322574013158,0.000229043030843737
